,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,10978000000000.0,10816000000000.0,9021000000000.0,9739000000000.0
Minority Interest,11699000000000.0,19265000000000.0,18362000000000.0,16172000000000.0
Net Income,6437000000000.0,6014000000000.0,4125000000000.0,5690000000000.0
Selling General Administrative,2404000000000.0,2120000000000.0,3403000000000.0,2013000000000.0
Gross Profit,21354000000000.0,20929000000000.0,21897000000000.0,19522000000000.0
Ebit,11906000000000.0,11536000000000.0,10666000000000.0,10587000000000.0
Operating Income,11906000000000.0,11536000000000.0,10666000000000.0,10587000000000.0
Other Operating Expenses,-368000000000.0,-13000000000.0,78000000000.0,-189000000000.0
Interest Expense,-1083000000000.0,-982000000000.0,-1063000000000.0,-1142000000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2445000000000.0,2429000000000.0,2409000000000.0,2221000000000.0
Total Revenue,35535000000000.0,33945000000000.0,36521000000000.0,33085000000000.0
Total Operating Expenses,23629000000000.0,22409000000000.0,25855000000000.0,22498000000000.0
Cost Of Revenue,14181000000000.0,13016000000000.0,14624000000000.0,13563000000000.0
Total Other Income Expense Net,-928000000000.0,-720000000000.0,-1645000000000.0,-848000000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,8533000000000.0,8387000000000.0,6612000000000.0,7518000000000.0
Net Income Applicable To Common Shares,6437000000000.0,6014000000000.0,4125000000000.0,5690000000000.0
