,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2021,1,1662832000,4898912000,388000,64000,1356567000,1204670000
1,2021,1,1662832000,4898912000,388000,64000,983698000,865937000
2,2021,1,1662832000,4898912000,388000,60832000,1356567000,1204670000
3,2021,1,1662832000,4898912000,388000,60832000,983698000,865937000
4,2021,1,1567168000,4867573000,389000,64000,1356567000,1204670000
5,2021,1,1567168000,4867573000,389000,64000,983698000,865937000
6,2021,1,1567168000,4867573000,389000,60832000,1356567000,1204670000
7,2021,1,1567168000,4867573000,389000,60832000,983698000,865937000
8,2021,2,1721793000,5862363000,369000,36368000,1032472000,915853000
9,2021,3,1764356000,5891869000,366000,34786000,997990000,877588000
