,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,27713000000,15812000000,182000000,0,6001000000,5398000000
1,2021,1,0,0,0,0,3827000000,3788000000
2,2021,2,29006000000,17020000000,183000000,0,4230000000,4080000000
3,2021,3,0,0,0,0,4156000000,1183000000
