,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,3,18300000000,12876000000,969000000,127000000,3685000000,3243000000
1,2020,4,19556000000,13741000000,969000000,128000000,3757000000,3485000000
2,2021,1,20139000000,14170000000,969000000,128000000,3881000000,3503000000
3,2021,2,22353000000,15942000000,969000000,128000000,4359000000,3928000000
