,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,41514185835,20146133669,1364182795,2248704,3337631448,4114319400
1,2021,1,42978389188,20500511365,1364182795,4687066,8927731306,7905720018
2,2021,2,45236910933,22280444834,1364476795,5498994,9363429445,7969919404
3,2021,3,45328578511,21114743591,1364476795,1027926732,8480230687,7284954083
