Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-22,4.612215987567244,4.612215987567244,4.534042835235596,4.534042835235596,20800,0.0,0.0
1994-02-23,4.455868927208153,4.455868927208153,4.221349509986671,4.338609218597412,31600,0.0,0.0
1994-02-24,4.338608711137684,4.338608711137684,4.260435581207275,4.260435581207275,32000,0.0,0.0
1994-02-25,4.1822638419067975,4.1822638419067975,3.908657796174577,4.0259175300598145,49800,0.0,0.0
1994-02-28,4.065003413074422,4.221349698192668,4.025916841794859,4.143176555633545,170400,0.0,0.0
1994-03-01,4.143177268618629,4.143177268618629,4.065004112606957,4.104090690612793,41600,0.0,0.0
1994-03-02,4.0259175346011205,4.104090690612793,4.0259175346011205,4.104090690612793,67000,0.0,0.0
1994-03-03,4.143177023300758,4.143177023300758,4.065003871917725,4.065003871917725,27800,0.0,0.0
1994-03-04,4.065002971225314,4.221349239349365,4.025916404194302,4.221349239349365,358200,0.0,0.0
1994-03-07,4.025916404194302,4.260435806380378,4.025916404194302,4.221349239349365,690800,0.0,0.0
1994-03-08,4.221349016242071,4.260435581207275,4.221349016242071,4.260435581207275,515200,0.0,0.0
1994-03-09,4.260436305132779,4.299522876739502,4.260436305132779,4.299522876739502,540400,0.0,0.0
1994-03-10,4.299522876739502,4.299522876739502,4.260436305132779,4.299522876739502,1832200,0.0,0.0
1994-03-11,4.338608799809995,4.494955062866211,4.338608799809995,4.494955062866211,1895400,0.0,0.0
1994-03-14,4.494955598815413,4.768561591786786,4.494955598815413,4.729475021362305,1413800,0.0,0.0
1994-03-15,4.729476455880814,4.807649620440828,4.651303291320801,4.651303291320801,1665200,0.0,0.0
1994-03-16,4.651303291320801,4.651303291320801,4.573130126760788,4.651303291320801,717000,0.0,0.0
1994-03-17,4.66698891269274,4.823862489589975,4.66698891269274,4.745425701141357,971200,0.025,0.0
1994-03-18,4.784645080566406,4.823863482866131,4.784645080566406,4.784645080566406,1178000,0.0,0.0
1994-03-21,4.784644630866322,4.8238630294799805,4.784644630866322,4.8238630294799805,659400,0.0,0.0
1994-03-22,4.823862613677979,4.941517799377442,4.823862613677979,4.902299404144287,374000,0.0,0.0
1994-03-23,4.902300853577871,4.9807376672351165,4.863082446749248,4.941519260406494,430200,0.0,0.0
1994-03-24,4.902297931332742,4.941516314783404,4.86307954788208,4.86307954788208,747000,0.0,0.0
1994-03-25,4.9022998267072975,4.9022998267072975,4.784644630866322,4.8238630294799805,370000,0.0,0.0
1994-03-28,4.823863482866131,4.823863482866131,4.784645080566406,4.784645080566406,1116200,0.0,0.0
1994-03-29,4.784644063313801,4.82386245727539,4.706207275390625,4.706207275390625,595800,0.0,0.0
1994-03-30,4.706209150411315,4.706209150411315,4.588553921651032,4.627772331237793,653000,0.0,0.0
1994-03-31,4.627772331237793,4.666990740824554,4.549335512064271,4.627772331237793,448400,0.0,0.0
1994-04-04,4.470898692890749,4.627772331237793,4.470898692890749,4.627772331237793,386600,0.0,0.0
1994-04-05,4.588553069067784,4.823863482866131,4.588553069067784,4.784645080566406,361600,0.0,0.0
1994-04-06,4.784645969584837,4.823864379171598,4.627772331237793,4.627772331237793,551400,0.0,0.0
1994-04-07,4.706207243334346,4.706207243334346,4.62777045594544,4.666988849639893,338400,0.0,0.0
1994-04-08,4.588552093505859,4.706207275390625,4.588552093505859,4.706207275390625,166000,0.0,0.0
1994-04-11,4.706207637129159,4.784644431081312,4.5493340492248535,4.5493340492248535,424800,0.0,0.0
1994-04-12,4.4708967208862305,4.549333505463182,4.4708967208862305,4.4708967208862305,602800,0.0,0.0
1994-04-13,4.4708990795271735,4.5885543184621,4.392462253570557,4.392462253570557,504600,0.0,0.0
1994-04-14,4.431678711831033,4.431678711831033,4.353241920471191,4.353241920471191,378200,0.0,0.0
1994-04-15,4.314023971557617,4.431679170781916,4.314023971557617,4.314023971557617,197600,0.0,0.0
1994-04-18,4.392460461320549,4.5493340492248535,4.392460461320549,4.5493340492248535,184800,0.0,0.0
1994-04-19,4.5101156522487775,4.58855244620093,4.5101156522487775,4.5493340492248535,122200,0.0,0.0
1994-04-20,4.588551897751658,4.588551897751658,4.4708967208862305,4.4708967208862305,201400,0.0,0.0
1994-04-21,4.4708975705233485,4.588552769747648,4.314023971557617,4.314023971557617,858200,0.0,0.0
1994-04-22,4.392460461320549,4.5493340492248535,4.392460461320549,4.5493340492248535,411400,0.0,0.0
1994-04-25,4.510116264468334,4.784645080566406,4.510116264468334,4.784645080566406,330600,0.0,0.0
1994-04-26,4.745427559998076,4.745427559998076,4.549335512064271,4.627772331237793,313400,0.0,0.0
1994-04-28,4.588552474975586,4.588552474975586,4.4708972833095455,4.588552474975586,161600,0.0,0.0
1994-04-29,4.5493340492248535,4.58855244620093,4.5101156522487775,4.5493340492248535,344600,0.0,0.0
1994-05-02,4.510114669799805,4.588551446665889,4.431677892933721,4.510114669799805,135800,0.0,0.0
1994-05-03,4.549333058232847,4.666988223531972,4.470896281366763,4.510114669799805,375200,0.0,0.0
1994-05-04,4.4708972833095455,4.627770872197599,4.4708972833095455,4.588552474975586,491800,0.0,0.0
1994-05-05,4.58855244620093,4.58855244620093,4.5101156522487775,4.5493340492248535,152800,0.0,0.0
1994-05-06,4.5493340492248535,4.58855244620093,4.5493340492248535,4.5493340492248535,272800,0.0,0.0
1994-05-09,4.5493340492248535,4.58855244620093,4.5493340492248535,4.5493340492248535,161600,0.0,0.0
