,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-4145000.0,30936000.0,-4087000.0,31459000.0
Total Cashflows From Investing Activities,-19574000.0,-16772000.0,-26836000.0,-45645000.0
Net Borrowings,-509000.0,-156739000.0,-179188000.0,-66761000.0
Total Cash From Financing Activities,-3057000.0,-145740000.0,-186496000.0,-58773000.0
Change To Operating Activities,-11203000.0,-41852000.0,-22157000.0,-74809000.0
Issuance Of Stock,2881000.0,17665000.0,1192000.0,17107000.0
Net Income,-146751000.0,-110956000.0,-186000.0,-1827000.0
Change In Cash,19855000.0,-137770000.0,-176786000.0,-105705000.0
Repurchase Of Stock,-5429000.0,-6666000.0,-4900000.0,-9019000.0
Effect Of Exchange Rate,-543000.0,226000.0,-409000.0,1197000.0
Total Cash From Operating Activities,43029000.0,24516000.0,36955000.0,-2484000.0
Depreciation,27499000.0,26147000.0,24577000.0,22049000.0
Change To Account Receivables,-18887000.0,-34286000.0,7697000.0,-24478000.0
Change To Netincome,160709000.0,120891000.0,-733000.0,14557000.0
Capital Expenditures,-7402000.0,-5664000.0,-8721000.0,-9626000.0
Other Cashflows From Financing Activities,,,-3600000.0,-100000.0
