,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,2583641000,477262000,2000,0,377519000,280560000
1,2021,1,3046067000,779747000,2000,0,396761000,293843000
2,2021,2,3222149000,777165000,2000,0,433573000,318006000
3,2021,3,3351383000,731286000,2000,0,455594000,346736000
