,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,4927503000,2264276000,1693000,88114000,3169188000,2970568000
1,2021,1,5454997000,2576347000,1688000,98387000,3198820000,2911600000
2,2021,2,5953171000,2869520000,1692000,98387000,3609093000,3292721000
3,2021,3,7076383000,3655791000,1694000,0,4319261000,3960193000
