,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,18690000000,14664000000,0,58000000,920000000,1303000000
1,2021,1,21866000000,18156000000,0,50000000,1246000000,1824000000
2,2021,2,24181000000,21088000000,0,50000000,2111000000,2283000000
3,2021,3,21944000000,18342000000,0,0,2962000000,2586000000
