Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-06-28,3.3127947228595382,3.6709348590573248,3.2904106761653034,3.581399440765381,7850250,0.0,0.0
1996-07-01,3.5366316748274222,3.6261666977114335,3.5366316748274222,3.6037826538085938,663750,0.0,0.0
1996-07-02,3.559015755019861,3.7157017584826963,3.559015755019861,3.6709344387054443,1340100,0.0,0.0
1996-07-03,3.693316101945584,3.693316101945584,3.559014201246555,3.6261651515960693,660600,0.0,0.0
1996-07-05,3.559015274047851,3.559015274047851,3.469480262350823,3.5590152740478516,502650,0.0,0.0
1996-07-08,3.581397893835403,3.581397893835403,3.312793291949205,3.335176944732666,584550,0.0,0.0
1996-07-09,3.3575623940030397,3.402329334157323,3.3127946853637695,3.3127946853637695,238500,0.0,0.0
1996-07-10,3.3127940224934207,3.3351776802129725,3.1784911155700684,3.1784911155700684,520200,0.0,0.0
1996-07-11,3.133724490645243,3.133724490645243,2.9770377185674843,3.088956594467163,192600,0.0,0.0
1996-07-12,3.0889559600789873,3.133723847062952,3.0889559600789873,3.111339807510376,49500,0.0,0.0
1996-07-15,3.088956594467163,3.1784914262171884,3.088956594467163,3.088956594467163,342900,0.0,0.0
1996-07-16,3.0665721407895035,3.0665721407895035,2.775582770796713,2.8203506469726562,350550,0.0,0.0
1996-07-17,2.8651192367694303,3.111339831307215,2.8651192367694303,3.066572904586792,181800,0.0,0.0
1996-07-18,3.0441888648630133,3.066572904586792,3.0441888648630133,3.066572904586792,8100,0.0,0.0
1996-07-19,3.0665735109236443,3.088956594467163,3.0665735109236443,3.088956594467163,33750,0.0,0.0
1996-07-22,3.1337244510650635,3.1784913860715847,3.1113404071981297,3.1337244510650635,206100,0.0,0.0
1996-07-23,3.1561073397869595,3.1561073397869595,3.0441884994506836,3.0441884994506836,11700,0.0,0.0
1996-07-24,3.0441888648630133,3.066572904586792,2.9994211696578343,3.066572904586792,54450,0.0,0.0
1996-07-25,3.0665728811323487,3.111339807510376,3.0665728811323487,3.111339807510376,46350,0.0,0.0
1996-07-26,3.1337244510650635,3.1337244510650635,3.1337244510650635,3.1337244510650635,22500,0.0,0.0
1996-07-29,3.1561093030253056,3.290411303334371,3.1561093030253056,3.2680280208587646,79200,0.0,0.0
1996-07-30,3.268027009309391,3.4023289680480957,3.2456433495196073,3.4023289680480957,212400,0.0,0.0
1996-07-31,3.4023293726664874,3.603783103217118,3.4023293726664874,3.581399440765381,257400,0.0,0.0
1996-08-01,3.5814000858301354,3.5814000858301354,3.514249086380005,3.514249086380005,30150,0.0,0.0
1996-08-02,3.5813985608698418,3.5813985608698418,3.4694802761077876,3.469480276107788,90000,0.0,0.0
1996-08-05,3.5142486358097047,3.5590163472792486,3.5142486358097047,3.5366322994232178,25650,0.0,0.0
1996-08-06,3.5590168035893255,3.5590168035893255,3.514249086380005,3.514249086380005,89100,0.0,0.0
1996-08-07,3.4694810892374752,3.4694810892374752,3.3127946853637695,3.3127946853637695,71550,0.0,0.0
1996-08-08,3.290409803390503,3.3127938441474147,3.268026531118383,3.290409803390503,233100,0.0,0.0
1996-08-09,3.3351769472295234,3.44709597971528,3.3351769472295234,3.4247119426727295,70650,0.0,0.0
1996-08-12,3.424711834635266,3.4470958709716797,3.424711834635266,3.4470958709716797,4950,0.0,0.0
1996-08-13,3.424713012080332,3.447097056112568,3.4023289680480957,3.4023289680480957,114750,0.0,0.0
1996-08-14,3.402327798298852,3.4470958709716797,3.402327798298852,3.4470958709716797,40050,0.0,0.0
