Date,Dividends
1997-05-15,0.5904
1998-05-20,0.0775
1999-05-21,0.07988
2000-05-24,0.07788
2001-06-04,0.0345
2002-05-31,0.0915
2003-05-07,0.13
2004-05-06,0.14575
2005-05-12,0.175
2006-05-05,0.202
2007-05-07,0.266
2008-05-09,0.339
2009-04-30,0.318
2009-06-19,0.609
2010-05-04,0.324
2011-05-05,0.351
2012-05-03,0.363
2013-04-29,0.388
2014-05-02,0.401
2015-05-04,0.325
2016-05-02,0.364
2017-05-02,0.364
2018-05-02,0.464
2019-05-03,0.432
2020-07-10,0.47866
2021-05-06,0.469455
