Date,Close,Volume
1973-02-21,0.07,339200
1973-02-22,0.07,627200
1973-02-23,0.07,668800
1973-02-26,0.07,521600
1973-02-27,0.06,816000
1973-02-28,0.07,752000
1973-03-01,0.07,3104000
1973-03-02,0.07,4691200
1973-03-05,0.08,547200
1973-03-06,0.07,1532800
1973-03-07,0.07,1152000
1973-03-08,0.08,1104000
1973-03-09,0.07,518400
1973-03-12,0.07,649600
1973-03-13,0.08,425600
1973-03-14,0.07,563200
1973-03-15,0.07,953600
1973-03-16,0.07,278400
1973-03-19,0.07,441600
1973-03-20,0.07,300800
1973-03-21,0.06,300800
1973-03-22,0.06,460800
1973-03-23,0.07,396800
1973-03-26,0.07,598400
1973-03-27,0.07,592000
1973-03-28,0.07,681600
1973-03-29,0.07,454400
1973-03-30,0.07,428800
1973-04-02,0.06,403200
1973-04-03,0.06,339200
1973-04-04,0.07,256000
1973-04-05,0.07,473600
1973-04-06,0.07,614400
1973-04-09,0.07,1228800
1973-04-10,0.07,841600
1973-04-11,0.07,428800
1973-04-12,0.07,553600
1973-04-13,0.07,601600
1973-04-16,0.07,691200
1973-04-17,0.07,524800
1973-04-18,0.07,704000
1973-04-19,0.07,204800
1973-04-23,0.07,476800
1973-04-24,0.06,1456000
1973-04-25,0.06,1379200
1973-04-26,0.06,595200
1973-04-27,0.06,393600
1973-04-30,0.05,982400
1973-05-01,0.05,572800
1973-05-02,0.06,1139200
1973-05-03,0.06,537600
1973-05-04,0.06,348800
1973-05-07,0.06,486400
1973-05-08,0.06,230400
1973-05-09,0.05,403200
1973-05-10,0.05,4592000
1973-05-11,0.04,7203200
1973-05-14,0.04,1366400
1973-05-15,0.04,1232000
1973-05-16,0.04,534400
1973-05-17,0.05,643200
1973-05-18,0.04,704000
1973-05-21,0.04,617600
1973-05-22,0.04,281600
1973-05-23,0.04,684800
1973-05-24,0.04,441600
1973-05-25,0.04,432000
1973-05-29,0.04,656000
1973-05-30,0.04,339200
1973-05-31,0.03,12044800
1973-06-01,0.03,2816000
1973-06-04,0.03,1171200
1973-06-05,0.03,467200
1973-06-06,0.03,1008000
1973-06-07,0.04,998400
1973-06-08,0.04,838400
1973-06-11,0.04,524800
1973-06-12,0.04,246400
1973-06-13,0.04,467200
1973-06-14,0.04,336000
1973-06-15,0.03,115200
1973-06-18,0.04,284800
1973-06-19,0.04,313600
1973-06-20,0.04,144000
1973-06-21,0.04,659200
1973-06-22,0.04,403200
1973-06-25,0.04,464000
1973-06-26,0.04,320000
1973-06-27,0.04,195200
1973-06-28,0.04,224000
1973-06-29,0.04,150400
1973-07-02,0.04,60800
1973-07-03,0.04,204800
1973-07-05,0.04,358400
1973-07-06,0.04,742400
1973-07-09,0.04,480000
1973-07-10,0.05,1161600
1973-07-11,0.05,473600
1973-07-12,0.05,1321600
1973-07-13,0.04,300800
1973-07-16,0.05,380800
1973-07-17,0.05,1024000
1973-07-18,0.05,1696000
1973-07-19,0.05,1817600
1973-07-20,0.06,1932800
1973-07-23,0.06,2320000
1973-07-24,0.06,1961600
1973-07-25,0.06,3120000
1973-07-26,0.06,675200
1973-07-27,0.06,761600
1973-07-30,0.06,406400
1973-07-31,0.06,124800
1973-08-01,0.06,390400
1973-08-02,0.06,1308800
1973-08-03,0.06,393600
1973-08-06,0.06,275200
1973-08-07,0.06,240000
1973-08-08,0.06,185600
1973-08-09,0.06,288000
1973-08-10,0.06,294400
1973-08-13,0.06,371200
1973-08-14,0.06,348800
1973-08-15,0.06,80000
1973-08-16,0.06,41600
1973-08-17,0.05,112000
1973-08-20,0.05,86400
1973-08-21,0.05,428800
1973-08-22,0.05,102400
1973-08-23,0.05,774400
1973-08-24,0.05,368000
1973-08-27,0.05,131200
1973-08-28,0.05,345600
1973-08-29,0.06,822400
1973-08-30,0.06,489600
1973-08-31,0.06,435200
1973-09-04,0.06,636800
1973-09-05,0.06,220800
1973-09-06,0.06,416000
1973-09-07,0.06,249600
1973-09-10,0.06,355200
1973-09-11,0.06,412800
1973-09-12,0.06,470400
1973-09-13,0.06,140800
1973-09-14,0.06,300800
1973-09-17,0.06,1123200
1973-09-18,0.07,409600
1973-09-19,0.07,2172800
1973-09-20,0.07,2544000
1973-09-21,0.07,1888000
1973-09-24,0.07,710400
1973-09-25,0.07,755200
1973-09-26,0.07,771200
1973-09-27,0.07,326400
1973-09-28,0.07,860800
1973-10-01,0.07,444800
1973-10-02,0.07,300800
1973-10-03,0.07,1974400
1973-10-04,0.07,416000
1973-10-05,0.07,134400
1973-10-08,0.07,166400
1973-10-09,0.07,576000
1973-10-10,0.07,297600
1973-10-11,0.07,496000
1973-10-12,0.07,390400
1973-10-15,0.07,108800
1973-10-16,0.07,316800
1973-10-17,0.07,195200
1973-10-18,0.07,76800
1973-10-19,0.07,112000
1973-10-22,0.07,368000
1973-10-23,0.07,390400
1973-10-24,0.06,326400
1973-10-25,0.06,172800
1973-10-26,0.06,80000
1973-10-29,0.06,579200
1973-10-30,0.06,57600
1973-10-31,0.05,160000
1973-11-01,0.05,1865600
1973-11-02,0.05,99200
1973-11-05,0.05,105600
1973-11-06,0.05,124800
1973-11-07,0.06,313600
1973-11-08,0.06,166400
1973-11-09,0.06,121600
1973-11-12,0.06,640000
1973-11-13,0.05,214400
1973-11-14,0.05,6553600
1973-11-15,0.05,262400
1973-11-16,0.05,358400
1973-11-19,0.05,182400
1973-11-20,0.05,361600
1973-11-21,0.05,128000
1973-11-23,0.05,76800
1973-11-26,0.05,345600
1973-11-27,0.04,537600
