,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,15923600000,10207100000,2600000,36200000,1203400000,1006300000
1,2021,1,16689100000,10954900000,5734200000,41200000,1233400000,1058500000
2,2021,2,17435100000,11611400000,2700000,40900000,1259000000,1069200000
3,2021,3,16934000000,11018600000,2700000,40700000,1264400000,1080000000
