,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,12936177000,6720746000,6000,135535000,369733000,273988000
1,2021,1,12790204000,6542951000,6000,135064000,372136000,203692000
2,2021,2,12747199000,6575470000,7000,135873000,369226000,304380000
3,2021,3,12788641000,6624044000,7000,135881000,388290000,269900000
