,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2021,1,12767625000,6624258000,130035000,35718000,3381836000,3124788000
1,2021,2,15562068000,8931357000,130172000,38004000,3547873000,3536828000
2,2021,3,15209284000,8421492000,130293000,38004000,3576436000,3410642000
3,2021,4,14632609000,8000050000,128893000,36088000,3586488000,3543343000
