,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2021,1,18557000000,22278000000,1000000,0,1108000000,1058000000
1,2021,2,18739000000,22260000000,1000000,0,1194000000,1090000000
2,2021,3,19315000000,22225000000,1000000,0,1218000000,901000000
3,2021,3,19315000000,22225000000,1000000,0,1279000000,1070000000
4,2021,3,19315000000,22225000000,1000000,0,1218000000,901000000
5,2021,3,19315000000,22225000000,1000000,0,1279000000,1070000000
6,2021,3,19089000000,22221000000,1000000,0,1218000000,901000000
7,2021,3,19089000000,22221000000,1000000,0,1279000000,1070000000
8,2021,3,19089000000,22221000000,1000000,0,1218000000,901000000
9,2021,3,19089000000,22221000000,1000000,0,1279000000,1070000000
