,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,3628276000000.0,3546462000000.0,3594337000000.0,3733153000000.0
Capital Surplus,17574353000000.0,17560620000000.0,17535764000000.0,17316192000000.0
Total Liab,1425125470000000.0,1375396390000000.0,1386544121000000.0,1235538401000000.0
Total Stockholder Equity,196152120000000.0,189077396000000.0,181628220000000.0,189142952000000.0
Minority Interest,16672581000000.0,16053449000000.0,15894833000000.0,4653131000000.0
Other Current Liab,17873061000000.0,18465213000000.0,18784854000000.0,18993839000000.0
Total Assets,1637950171000000.0,1580527235000000.0,1584067174000000.0,1429334484000000.0
Common Stock,11666667000000.0,11666667000000.0,11666667000000.0,11666667000000.0
Other Current Assets,61899900000000.0,43166151000000.0,51994807000000.0,67468893000000.0
Retained Earnings,133613574000000.0,126885633000000.0,120302872000000.0,124656051000000.0
Other Liab,164934808000000.0,161496483000000.0,154795145000000.0,102750568000000.0
Good Will,787466000000.0,787466000000.0,787466000000.0,787466000000.0
Treasury Stock,33297526000000.0,32964476000000.0,32122917000000.0,35504042000000.0
Other Assets,972892548000000.0,965805458000000.0,935410042000000.0,847081681000000.0
Cash,48166804000000.0,43945611000000.0,44683166000000.0,48659998000000.0
Total Current Liabilities,1199315283000000.0,1151098398000000.0,1169937786000000.0,1070577279000000.0
Deferred Long Term Asset Charges,9439747000000.0,8992503000000.0,8948892000000.0,7582771000000.0
Short Long Term Debt,15455587000000.0,15911564000000.0,10579957000000.0,12749904000000.0
Other Stockholder Equity,33448421000000.0,33115371000000.0,32273812000000.0,35654937000000.0
Property Plant Equipment,49087734000000.0,49225424000000.0,49459818000000.0,46927076000000.0
Total Current Assets,246390055000000.0,255780928000000.0,301800811000000.0,297813387000000.0
Long Term Investments,365164092000000.0,305381497000000.0,293014700000000.0,232991721000000.0
Net Tangible Assets,191736378000000.0,184743468000000.0,177246417000000.0,184622333000000.0
Short Term Investments,88511033000000.0,118134551000000.0,155254770000000.0,134861053000000.0
Net Receivables,31802999000000.0,31582619000000.0,32141895000000.0,32680904000000.0
Long Term Debt,60248549000000.0,62101802000000.0,61209638000000.0,61679948000000.0
Inventory,1201044000000.0,1204795000000.0,1206109000000.0,297708000000.0
Accounts Payable,1128773950000000.0,1079598645000000.0,1105569501000000.0,1009058049000000.0
