Date,Dividends
2003-03-27,0.33113
2003-06-26,0.33113
2003-09-26,0.43179
2003-12-29,0.43179
2004-03-29,0.49801
2004-06-28,0.49801
2004-09-28,0.49801
2004-12-29,0.49801
2005-03-29,0.56954
2005-06-28,0.56954
2005-09-28,0.56954
2005-12-28,0.56954
2006-03-29,0.62252
2006-06-28,0.62252
2006-09-27,0.62252
2006-12-27,0.62252
2007-03-28,0.66225
2007-06-27,0.66225
2007-09-26,0.66225
2007-12-27,0.66225
2008-03-27,0.68874
2008-06-26,0.68874
2008-09-26,0.68874
2008-12-29,0.68874
2009-03-27,0.68874
2009-06-26,0.68874
2009-09-28,0.68874
2009-12-28,0.68874
2010-03-29,0.68874
2010-06-28,0.68874
2010-09-28,0.68874
2010-12-29,0.68874
2011-03-29,0.68874
2011-06-28,0.68874
2011-09-28,0.68874
2011-12-28,0.68874
2012-03-28,0.71523
2012-06-27,0.71523
2012-09-26,0.71523
2012-12-27,0.71523
2013-03-26,0.74172
2013-06-26,0.74172
2013-09-26,0.74172
2013-12-27,0.74172
2014-03-27,0.7947
2014-06-26,0.7947
2014-09-26,0.7947
2014-12-29,0.7947
2015-03-27,0.82119
2015-06-26,0.82119
2015-09-28,0.82119
2015-11-16,0.82119
2016-03-29,0.48
2016-06-28,0.48
2016-09-28,0.48
2016-12-28,0.48
2017-03-29,0.53
2017-06-28,0.53
2017-09-28,0.53
2017-12-28,0.53
2018-03-28,0.6
2018-06-28,0.6
2018-09-27,0.6
2018-12-28,0.6
2019-03-28,0.65
2019-06-27,0.65
2019-09-27,0.65
2019-12-30,0.65
2020-03-30,0.68
2020-06-29,0.68
2020-09-29,0.68
2020-12-30,0.71
2021-03-30,0.71
2021-05-27,0.71
