,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,20071700000,10691300000,9000000,0,4489800000,3551500000
1,2021,1,20417100000,10374700000,9000000,0,4161500000,3391900000
2,2021,2,20417100000,10151000000,8900000,0,3840700000,3373300000
3,2021,3,20866500000,10321400000,8800000,0,4062600000,3475300000
