,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,71996000000,70462000000,0,0,3973000000,4728000000
1,2021,1,73083000000,72601000000,0,0,4150000000,5327000000
2,2021,2,75309000000,74028000000,0,0,7126000000,6474000000
3,2021,3,72783000000,70177000000,0,0,9154000000,7942000000
