,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-3712201000000.0,-1812893000000.0,-2121314000000.0,-2902074000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-3981824000000.0,-1990330000000.0,-2293581000000.0,-2908138000000.0
Net Borrowings,-271254000000.0,4106868000000.0,-1801685000000.0,5479017000000.0
Total Cash From Financing Activities,1512642000000.0,11817807000000.0,8724099000000.0,14968909000000.0
Change To Operating Activities,4867615000000.0,-11889691000000.0,-4626721000000.0,-10573621000000.0
Net Income,1115665000000.0,1251841000000.0,1191938000000.0,464393000000.0
Change In Cash,2137772000000.0,1629720000000.0,201437000000.0,-700577000000.0
Repurchase Of Stock,-1000000.0,-1000000.0,-79000000.0,-79000000.0
Effect Of Exchange Rate,59356000000.0,6215000000.0,39426000000.0,-86898000000.0
Total Cash From Operating Activities,4547598000000.0,-8203972000000.0,-6268507000000.0,-12674450000000.0
Depreciation,223592000000.0,213723000000.0,215847000000.0,95353000000.0
Other Cashflows From Investing Activities,-38320000000.0,-106509000000.0,15320000000.0,119466000000.0
Dividends Paid,-196933000000.0,-803720000000.0,-50983000000.0,-15261000000.0
Other Cashflows From Financing Activities,1980830000000.0,7958652000000.0,9954667000000.0,9372531000000.0
Change To Netincome,715744000000.0,519371000000.0,550356000000.0,649453000000.0
Capital Expenditures,-78763000000.0,-55908000000.0,-53870000000.0,-72140000000.0
Issuance Of Stock,,556007000000.0,622179000000.0,132622000000.0
