,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,10450946000,5982352000,1069000,40982000,879147000,794512000
1,2021,1,10290302000,4347749000,1167000,41130000,829291000,733614000
2,2021,2,10796926000,4431155000,1169000,45507000,773896000,349296000
3,2021,3,10832325000,4937093000,1170000,45599000,830566000,1223347000
