Date,Dividends
2001-04-18,0.238
2001-09-26,0.081
2002-09-25,0.097
2003-04-17,0.227
2003-09-24,0.1
2004-04-28,0.256
2004-09-29,0.124
2005-04-18,0.299
2005-09-28,0.1329
2006-05-03,0.336
2006-10-11,0.159
2007-04-25,0.411
2007-10-10,0.196
2008-04-23,0.455
2008-10-08,0.189
2009-04-29,0.367
2009-10-14,0.186
2010-04-28,0.423
2010-10-14,0.208
2011-04-29,0.493
2011-10-13,0.215
2012-04-26,0.485
2012-10-11,0.224
2013-05-01,0.464
2013-10-09,0.225
2014-04-30,0.51
2014-10-30,0.056
2017-10-13,0.050681
2018-05-17,0.10096
2018-10-12,0.081352
2019-05-16,0.197772
2019-10-10,0.129138
2020-05-21,0.307269
2020-10-15,0.16172
2021-05-20,0.252
2021-10-15,0.130712
