Date,Dividends
2011-08-04,0.061961
2011-09-29,0.043471
2011-12-29,0.044414
2012-02-23,0.081537
2012-08-07,0.0396
2013-08-08,0.076266
2014-03-26,0.111078
2014-07-31,0.05441
2015-03-05,0.066156
2015-04-01,0.026154
2015-07-01,0.010827
2015-08-06,0.018405
2015-10-01,0.007
2015-12-23,0.0075
2016-03-03,0.01
2016-04-06,0.0075
2016-07-07,0.0105
2016-08-09,0.0055
2016-10-03,0.009
2016-12-21,0.012
2017-03-02,0.0105
2017-03-30,0.0105
2017-07-05,0.009
2017-07-27,0.0085
2017-10-05,0.009
2017-12-21,0.0085
2018-03-09,0.0125
2018-03-29,0.008
2018-07-06,0.005
2018-07-27,0.0105
2018-09-28,0.0045
2018-12-28,0.013413
2019-03-01,0.011
2019-03-29,0.012247
2019-07-05,0.0055
2019-08-02,0.022121
2019-09-27,0.005
2019-12-26,0.0045
2020-02-28,0.019
2020-03-26,0.003
2020-07-02,0.003547
2020-07-31,0.011761
2020-10-02,0.003078
2020-12-24,0.007
2021-03-05,0.031192
2021-04-01,0.003065
2021-07-02,0.004141
2021-08-06,0.030154
2021-10-01,0.003924
