,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,162364000000.0,162364000000.0,158397000000.0,158397000000.0
Capital Surplus,243920000000.0,243920000000.0,244377000000.0,244377000000.0
Total Liab,612802000000.0,612802000000.0,624533000000.0,624533000000.0
Total Stockholder Equity,526059000000.0,526059000000.0,506711000000.0,506711000000.0
Minority Interest,116759000000.0,116759000000.0,123352000000.0,123352000000.0
Deferred Long Term Liab,3921000000.0,3921000000.0,4095000000.0,4095000000.0
Other Current Liab,38015000000.0,38015000000.0,79878000000.0,79878000000.0
Total Assets,1255620000000.0,1255620000000.0,1254596000000.0,1254596000000.0
Common Stock,3848000000.0,3848000000.0,3856000000.0,3856000000.0
Other Current Assets,734000000.0,734000000.0,1648000000.0,1648000000.0
Retained Earnings,617887000000.0,617887000000.0,604451000000.0,604451000000.0
Other Liab,69193000000.0,69193000000.0,71203000000.0,71203000000.0
Good Will,293709000000.0,293709000000.0,319718000000.0,319718000000.0
Treasury Stock,-339596000000.0,-339596000000.0,-345973000000.0,-345973000000.0
Other Assets,35312000000.0,35312000000.0,32989000000.0,32989000000.0
Cash,182129000000.0,182129000000.0,155951000000.0,155951000000.0
Total Current Liabilities,194488000000.0,194488000000.0,173446000000.0,173446000000.0
Deferred Long Term Asset Charges,22515000000.0,22515000000.0,19926000000.0,19926000000.0
Short Long Term Debt,74954000000.0,74954000000.0,49525000000.0,49525000000.0
Other Stockholder Equity,-339596000000.0,-339596000000.0,-345973000000.0,-345973000000.0
Property Plant Equipment,207639000000.0,207639000000.0,215906000000.0,215906000000.0
Total Current Assets,262611000000.0,262611000000.0,237576000000.0,237576000000.0
Long Term Investments,293985000000.0,293985000000.0,290010000000.0,290010000000.0
Net Tangible Assets,69986000000.0,69986000000.0,28596000000.0,28596000000.0
Net Receivables,35761000000.0,35761000000.0,36732000000.0,36732000000.0
Long Term Debt,279020000000.0,279020000000.0,304240000000.0,304240000000.0
Inventory,24163000000.0,24163000000.0,24565000000.0,24565000000.0
Accounts Payable,25225000000.0,25225000000.0,25042000000.0,25042000000.0
