Date,Dividends
1990-12-21,0.029867
1991-06-21,0.031067
1991-12-23,0.0312
1992-06-23,0.034667
1992-12-23,0.036133
1993-06-23,0.0392
1993-12-23,0.040267
1994-06-23,0.042133
1994-12-22,0.048133
1995-06-27,0.041067
1995-12-26,0.041867
1996-06-25,0.0392
1996-12-26,0.0456
1997-06-25,0.0412
1997-12-26,0.047333
1998-06-25,0.041333
1998-12-28,0.046667
1999-06-25,0.052667
1999-12-28,0.053333
2000-12-26,0.065333
2001-06-26,0.057333
2001-12-26,0.054667
2002-06-26,0.066
2002-12-26,0.097333
2002-12-27,0.035333
2003-06-25,0.085333
2003-12-26,0.092667
2003-12-29,0.04
2004-06-25,0.153333
2004-12-28,0.159333
2005-06-27,0.201333
2005-12-28,0.378
2006-06-27,0.301333
2006-12-27,0.423
2007-06-27,0.412
2007-12-26,0.447
2014-12-26,0.712
