,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,2793800000,939300000,18800000,12600000,580200000,481800000
1,2021,1,2739700000,910700000,18800000,12600000,670700000,519500000
2,2021,2,2933500000,900900000,18800000,12600000,723600000,536300000
3,2021,3,3142600000,940300000,18800000,12600000,706500000,530900000
