,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,21600000.0,20721000.0,17052000.0,16789000.0
Effect Of Accounting Charges,,,,
Income Before Tax,67383000.0,7113000.0,45354000.0,56368000.0
Minority Interest,7590000.0,8263000.0,8489000.0,8938000.0
Net Income,69615000.0,14960000.0,45782000.0,46274000.0
Selling General Administrative,87367000.0,85691000.0,80865000.0,78695000.0
Gross Profit,172509000.0,177509000.0,168274000.0,150923000.0
Ebit,63542000.0,71097000.0,70357000.0,55439000.0
Operating Income,63542000.0,71097000.0,70357000.0,55439000.0
Other Operating Expenses,,,,
Interest Expense,-3409000.0,-3291000.0,-2660000.0,-3585000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-1598000.0,-7531000.0,-48000.0,10224000.0
Total Revenue,257719000.0,259028000.0,243552000.0,224253000.0
Total Operating Expenses,194177000.0,187931000.0,173195000.0,168814000.0
Cost Of Revenue,85210000.0,81519000.0,75278000.0,73330000.0
Total Other Income Expense Net,3841000.0,-63984000.0,-25003000.0,929000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,68981000.0,14644000.0,45402000.0,46144000.0
Net Income Applicable To Common Shares,69579000.0,14951000.0,45755000.0,46237000.0
