,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,13555671000,7135084000,16066000,82311000,1270073000,1202484000
1,2021,1,40817000000,19034000000,34000000,82000000,2465000000,2507000000
2,2021,2,40864000000,18964000000,34000000,192000000,3089000000,3061000000
3,2021,3,40252000000,18674000000,35000000,192000000,3071000000,2877000000
