,Year,Quarter,Total Assets,Total Liabilities,Common Stock,Dividends Paid,Total Cash Inflow,Total Cash Outflow
0,2020,4,16576100000,11279100000,300000,96000000,1352100000,1315900000
1,2021,1,16478800000,11141700000,300000,106600000,1467100000,1351100000
2,2021,2,16277800000,10757900000,300000,113100000,1569400000,1316600000
3,2021,3,16215000000,10512100000,600000,121200000,1649800000,1407800000
