,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1937000000.0,895000000.0,627000000.0,-715000000.0
Minority Interest,1822000000.0,1837000000.0,839000000.0,789000000.0
Net Income,1376000000.0,537000000.0,895000000.0,-588000000.0
Selling General Administrative,656000000.0,636000000.0,580000000.0,748000000.0
Gross Profit,896000000.0,973000000.0,1145000000.0,-661000000.0
Ebit,1992000000.0,596000000.0,440000000.0,793000000.0
Operating Income,1992000000.0,596000000.0,440000000.0,793000000.0
Other Operating Expenses,-2114000000.0,-1413000000.0,-231000000.0,-2504000000.0
Interest Expense,-246000000.0,-368000000.0,-117000000.0,-134000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,529000000.0,386000000.0,-283000000.0,-137000000.0
Total Revenue,4805000000.0,3741000000.0,4707000000.0,4390000000.0
Total Operating Expenses,2813000000.0,3145000000.0,4267000000.0,3597000000.0
Cost Of Revenue,3909000000.0,2768000000.0,3562000000.0,5051000000.0
Total Other Income Expense Net,-55000000.0,299000000.0,187000000.0,-1508000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1408000000.0,509000000.0,910000000.0,-578000000.0
Net Income Applicable To Common Shares,1376000000.0,537000000.0,895000000.0,-588000000.0
